STARTDATE,ENDDATE,CRITICALFLAG,VIOLATIONCODE,VIOLATIONDESC
3/24/2003 0:00,2/17/2005 0:00,Y,04G,"Unprotected <a    onmouseover=ShowContent('P4' '04G'); return true;""     href=""javascript:ShowContent('P4' '04G')"">potentially hazardous food</a> re-served.""  "
2/18/2005 0:00,6/30/2007 0:00,Y,04G,"Unprotected <a    onmouseover=ShowContent('P4' '04G'); return true;""     href=""javascript:ShowContent('P4' '04G')"">potentially hazardous food</a> re-served.""  "
7/1/2007 0:00,6/30/2008 0:00,Y,04G,Unprotected potentially hazardous food re-served.    
7/1/2008 0:00,8/1/2009 0:00,Y,04G,Unprotected potentially hazardous food re-served.    
8/2/2009 0:00,7/25/2010 0:00,Y,04G,Unprotected potentially hazardous food re-served.    
7/26/2010 0:00,12/31/2099 0:00,Y,04G,Unprotected potentially hazardous food re-served.    
3/24/2003 0:00,2/17/2005 0:00,Y,04H,"Food in contact with utensil. container. or pipe that consist of <a    onmouseover=ShowContent('T2' '04H'); return true;""     href=""javascript:ShowContent('T2' '04H')"">toxic material</a>.""  "
2/18/2005 0:00,6/30/2007 0:00,Y,04H,"Food in contact with utensil. container. or pipe that consist of <a    onmouseover=ShowContent('T2' '04H'); return true;""     href=""javascript:ShowContent('T2' '04H')"">toxic material</a>.""  "
7/1/2007 0:00,6/30/2008 0:00,Y,04H,Food in contact with utensil. container. or pipe that consist of toxic material.    
7/1/2008 0:00,8/1/2009 0:00,Y,04H,Food in contact with utensil. container. or pipe that consist of toxic material.    
8/2/2009 0:00,7/25/2010 0:00,Y,04H,Food in contact with utensil. container. or pipe that consist of toxic material.    
7/26/2010 0:00,12/31/2099 0:00,Y,04H,Raw. cooked or prepared food is adulterated. contaminated. cross-contaminated. or not discarded in accordance with HACCP plan.    
3/24/2003 0:00,2/17/2005 0:00,Y,04I,Cooked or prepared food is cross-contaminated.    
2/18/2005 0:00,6/30/2007 0:00,Y,04I,Cooked or prepared food is cross-contaminated.    
7/1/2007 0:00,6/30/2008 0:00,Y,04I,Food item spoiled. adulterated. contaminated or cross-contaminated.    
7/1/2008 0:00,8/1/2009 0:00,Y,04I,Food item spoiled. adulterated. contaminated or cross-contaminated.    
8/2/2009 0:00,7/25/2010 0:00,Y,04I,Food item spoiled. adulterated. contaminated or cross-contaminated.    
7/26/2010 0:00,12/31/2099 0:00,Y,04I,Unprotected food re-served.    
3/24/2003 0:00,2/17/2005 0:00,Y,04J,Unprotected food re-served.    
2/18/2005 0:00,6/30/2007 0:00,Y,04J,Unprotected food re-served.    
7/1/2007 0:00,6/30/2008 0:00,Y,04J,Unprotected food re-served.    
7/1/2008 0:00,8/1/2009 0:00,Y,04J,Unprotected food re-served.    
8/2/2009 0:00,7/25/2010 0:00,Y,04J,Unprotected food re-served.    
7/26/2010 0:00,12/31/2099 0:00,Y,04J,Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking. cooling. reheating and holding.    
3/24/2003 0:00,2/17/2005 0:00,Y,04K,Thawing procedures improper.    
2/18/2005 0:00,6/30/2007 0:00,Y,04K,"Appropriately scaled metal stem-type thermometer not provided or used to evaluate temperatures of <a    onmouseover=ShowContent('P4' '04K'); return true;""     href=""javascript:ShowContent('P4' '04K')"">potentially hazardous foods</a> during cooking  cooling  reheating and holding."""
7/1/2007 0:00,6/30/2008 0:00,Y,04K,Appropriately scaled metal stem-type thermometer not provided or used to evaluate temperatures of potentially hazardous foods during cooking. cooling. reheating and holding.    
7/1/2008 0:00,8/1/2009 0:00,Y,04K,Appropriately scaled metal stem-type thermometer not provided or used to evaluate temperatures of potentially hazardous foods during cooking. cooling. reheating and holding.    
8/2/2009 0:00,7/25/2010 0:00,Y,04K,Appropriately scaled metal stem-type thermometer not provided or used to evaluate temperatures of potentially hazardous foods during cooking. cooling. reheating and holding.    
7/26/2010 0:00,12/31/2099 0:00,Y,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.    
3/24/2003 0:00,2/17/2005 0:00,Y,04L,"Appropriately scaled metal stem-type thermometer not provided or used to evaluate temperatures of <a    onmouseover=ShowContent('P4' '04L'); return true;""     href=""javascript:ShowContent('P4' '04L')"">potentially hazardous foods</a> during cooking  cooling  reheating and holding."""
2/18/2005 0:00,6/30/2007 0:00,Y,04L,Evidence of rats or live rats present in facility's food and/or non-food areas.    
7/1/2007 0:00,6/30/2008 0:00,Y,04L,Evidence of rats or live rats present in facility's food and/or non-food areas.    
7/1/2008 0:00,8/1/2009 0:00,Y,04L,Evidence of rats or live rats present in facility's food and/or non-food areas.    
8/2/2009 0:00,7/25/2010 0:00,Y,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.    
7/26/2010 0:00,12/31/2099 0:00,Y,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.    
3/24/2003 0:00,2/17/2005 0:00,Y,04M,Evidence of rats or live rats present in facility.    
2/18/2005 0:00,6/30/2007 0:00,Y,04M,Evidence of mice or live mice present in facility's food and/or non-food areas.    
7/1/2007 0:00,6/30/2008 0:00,Y,04M,Evidence of mice or live mice present in facility's food and/or non-food areas.    
7/1/2008 0:00,8/1/2009 0:00,Y,04M,Evidence of mice or live mice present in facility's food and/or non-food areas.    
8/2/2009 0:00,7/25/2010 0:00,Y,04M,Evidence of mice or live mice present in facility's food and/or non-food areas.    
7/26/2010 0:00,12/31/2099 0:00,Y,04M,Live roaches present in facility's food and/or non-food areas.    
3/24/2003 0:00,2/17/2005 0:00,Y,04N,Evidence of mice or live mice present in facility.    
2/18/2005 0:00,6/30/2007 0:00,Y,04N,Evidence of roaches or live roaches present in facility's food and/or non-food areas.    
7/1/2007 0:00,6/30/2008 0:00,Y,04N,Evidence of roaches or live roaches present in facility's food and/or non-food areas.    
7/1/2008 0:00,8/1/2009 0:00,Y,04N,Evidence of roaches or live roaches present in facility's food and/or non-food areas.    
8/2/2009 0:00,7/25/2010 0:00,Y,04N,Evidence of roaches or live roaches present in facility's food and/or non-food areas.    
7/26/2010 0:00,12/31/2099 0:00,Y,04N,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies. little house flies. blow flies. bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies. drain flies and Phorid flies.    
3/24/2003 0:00,2/17/2005 0:00,Y,04O,Evidence of roaches or live roaches present in facility.    
2/18/2005 0:00,6/30/2007 0:00,Y,04O,Evidence of flying insects or live flying insects present in facility's food and/or non-food areas.    
7/1/2007 0:00,6/30/2008 0:00,Y,04O,Evidence of flying insects or live flying insects present in facility's food and/or non-food areas.    
7/1/2008 0:00,8/1/2009 0:00,Y,04O,Evidence of flying insects or live flying insects present in facility's food and/or non-food areas.    
8/2/2009 0:00,7/25/2010 0:00,Y,04O,Evidence of flying insects or live flying insects present in facility's food and/or non-food areas.    
7/26/2010 0:00,12/31/2099 0:00,Y,04O,Live animals other than fish in tank or service animal present in facility's food and/or non-food areas.    
3/24/2003 0:00,2/17/2005 0:00,Y,04P,Evidence of. or live flies/other insects present in facility.    
2/18/2005 0:00,6/30/2007 0:00,Y,04P,Other live animal present in facility's food and/or non-food areas.    
7/1/2007 0:00,6/30/2008 0:00,Y,04P,Other live animal present in facility's food and/or non-food areas.    
7/1/2008 0:00,8/1/2009 0:00,Y,04P,Other live animal present in facility's food and/or non-food areas.    
8/2/2009 0:00,7/25/2010 0:00,Y,04P,Other live animal present in facility's food and/or non-food areas.    
3/24/2003 0:00,2/17/2005 0:00,Y,04Q,Live animal present in facility.    
1/1/1901 0:00,3/23/2003 0:00,Y,05A,"Food worker prepares food or handles utensil when ill with a <a    onmouseover=ShowContent('D1' '05A'); return true;""     href=""javascript:ShowContent('D1' '05A')"">disease transmissible by food</a>  or have exposed infected cut or burn on their hand."" "
3/24/2003 0:00,2/17/2005 0:00,Y,05A,Sewage disposal system improper or unapproved.    
2/18/2005 0:00,6/30/2007 0:00,Y,05A,Sewage disposal system improper or unapproved.    
7/1/2007 0:00,6/30/2008 0:00,Y,05A,Sewage disposal system improper or unapproved.    
7/1/2008 0:00,8/1/2009 0:00,Y,05A,Sewage disposal system improper or unapproved.    
8/2/2009 0:00,7/25/2010 0:00,Y,05A,Sewage disposal system improper or unapproved.    
7/26/2010 0:00,12/31/2099 0:00,Y,05A,Sewage disposal system improper or unapproved.    
1/1/1901 0:00,3/23/2003 0:00,Y,05B,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.    
3/24/2003 0:00,2/17/2005 0:00,Y,05B,Harmful. noxious gas or vapor detected. Carbon Monoxide &#8805; 13 ppm.    
2/18/2005 0:00,6/30/2007 0:00,Y,05B,Harmful. noxious gas or vapor detected. CO &gt; 13 ppm.    
7/1/2007 0:00,6/30/2008 0:00,Y,05B,Harmful. noxious gas or vapor detected. CO > 13 ppm.    
7/1/2008 0:00,8/1/2009 0:00,Y,05B,Harmful. noxious gas or vapor detected. CO > 13 ppm.    
8/2/2009 0:00,7/25/2010 0:00,Y,05B,Harmful. noxious gas or vapor detected. CO > 13 ppm.    
7/26/2010 0:00,12/31/2099 0:00,Y,05B,Harmful. noxious gas or vapor detected. CO ~1 3 ppm.    
1/1/1901 0:00,3/23/2003 0:00,Y,05C,Food worker does not wash hands thoroughly after visiting the toilet. coughing. sneezing. smoking. preparing raw foods or otherwise contaminating hands.    
3/24/2003 0:00,2/17/2005 0:00,Y,05C,Food contact surface improperly constructed or located. Unacceptable material used.    
2/18/2005 0:00,6/30/2007 0:00,Y,05C,Food contact surface improperly constructed or located. Unacceptable material used.    
7/1/2007 0:00,6/30/2008 0:00,Y,05C,Food contact surface improperly constructed or located. Unacceptable material used.    
7/1/2008 0:00,8/1/2009 0:00,Y,05C,Food contact surface improperly constructed or located. Unacceptable material used.    
8/2/2009 0:00,7/25/2010 0:00,Y,05C,Food contact surface improperly constructed or located. Unacceptable material used.    
7/26/2010 0:00,12/31/2099 0:00,Y,05C,Food contact surface improperly constructed or located. Unacceptable material used.    
3/24/2003 0:00,2/17/2005 0:00,Y,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure not provided at facility. Soap and an acceptable hand-drying device not provided.    
2/18/2005 0:00,6/30/2007 0:00,Y,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure not provided at facility. Soap and an acceptable hand-drying device not provided.    
7/1/2007 0:00,6/30/2008 0:00,Y,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure not provided at facility. Soap and an acceptable hand-drying device not provided.    
7/1/2008 0:00,8/1/2009 0:00,Y,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure not provided at facility. Soap and an acceptable hand-drying device not provided.    
8/2/2009 0:00,7/25/2010 0:00,Y,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure not provided at facility. Soap and an acceptable hand-drying device not provided.    
7/26/2010 0:00,12/31/2099 0:00,Y,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.    
3/24/2003 0:00,2/17/2005 0:00,Y,05E,Toilet facility not provided for employees or for patrons when required.    
2/18/2005 0:00,6/30/2007 0:00,Y,05E,Toilet facility not provided for employees or for patrons when required.    
7/1/2007 0:00,6/30/2008 0:00,Y,05E,Toilet facility not provided for employees or for patrons when required.    
7/1/2008 0:00,8/1/2009 0:00,Y,05E,Toilet facility not provided for employees or for patrons when required.    
8/2/2009 0:00,7/25/2010 0:00,Y,05E,Toilet facility not provided for employees or for patrons when required.    
7/26/2010 0:00,12/31/2099 0:00,Y,05E,Toilet facility not provided for employees or for patrons when required.    
3/24/2003 0:00,2/17/2005 0:00,Y,05F,"Refrigerated or hot holding equipment to keep <a    onmouseover=ShowContent('P4' '05F'); return true;""     href=""javascript:ShowContent('P4' '05F')"">potentially hazardous foods</a> at required temperatures not provided.""  "
2/18/2005 0:00,6/30/2007 0:00,Y,05F,"Refrigerated or hot holding equipment to keep <a    onmouseover=ShowContent('P4' '05F'); return true;""     href=""javascript:ShowContent('P4' '05F')"">potentially hazardous foods</a> at required temperatures not provided.""  "
7/1/2007 0:00,6/30/2008 0:00,Y,05F,Refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures not provided.    
7/1/2008 0:00,8/1/2009 0:00,Y,05F,Refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures not provided.    
8/2/2009 0:00,7/25/2010 0:00,Y,05F,Refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures not provided.    
7/26/2010 0:00,12/31/2099 0:00,Y,05F,Insufficient or no refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures.    
3/24/2003 0:00,2/17/2005 0:00,Y,05G,"Sufficient refrigerated or hot holding equipment not provided to meet proper time and temperature requirements for <a    onmouseover=ShowContent('P4' '05G'); return true;""     href=""javascript:ShowContent('P4' '05G')"">potentially hazardous foods</a>.""  "
2/18/2005 0:00,6/30/2007 0:00,Y,05G,"Sufficient refrigerated or hot holding equipment not provided to meet proper time and temperature requirements for <a    onmouseover=ShowContent('P4' '05G'); return true;""     href=""javascript:ShowContent('P4' '05G')"">potentially hazardous foods</a>.""  "
7/1/2007 0:00,6/30/2008 0:00,Y,05G,Sufficient refrigerated or hot holding equipment not provided to meet proper time and temperature requirements for potentially hazardous foods.    
7/1/2008 0:00,8/1/2009 0:00,Y,05G,Sufficient refrigerated or hot holding equipment not provided to meet proper time and temperature requirements for potentially hazardous foods.    
8/2/2009 0:00,7/25/2010 0:00,Y,05G,Sufficient refrigerated or hot holding equipment not provided to meet proper time and temperature requirements for potentially hazardous foods.    
7/26/2010 0:00,12/31/2099 0:00,Y,05G,Properly enclosed service/maintenance area not provided.    
3/24/2003 0:00,2/17/2005 0:00,Y,05H,Properly enclosed service/maintenance area not provided.    
2/18/2005 0:00,6/30/2007 0:00,Y,05H,Properly enclosed service/maintenance area not provided.    
7/1/2007 0:00,6/30/2008 0:00,Y,05H,Properly enclosed service/maintenance area not provided.    
7/1/2008 0:00,8/1/2009 0:00,Y,05H,Properly enclosed service/maintenance area not provided.    
8/2/2009 0:00,7/25/2010 0:00,Y,05H,Properly enclosed service/maintenance area not provided.    
7/26/2010 0:00,12/31/2099 0:00,Y,05H,No facilities available to wash. rinse and sanitize utensils and/or equipment.    
3/24/2003 0:00,2/17/2005 0:00,Y,05I,"<a    onmouseover=ShowContent('N1' '05I'); return true;""     href=""javascript:ShowContent('N1' '05I')"">Nuisance</a> created or allowed to exist. Facility not free from unsafe  hazardous  offensive or annoying condition."""
2/18/2005 0:00,6/30/2007 0:00,Y,05I,No facility available to wash. rinse. and sanitize utensils and/or equipment not provided.    
7/1/2007 0:00,6/30/2008 0:00,Y,05I,No facility available to wash. rinse. and sanitize utensils and/or equipment not provided.    
7/1/2008 0:00,8/1/2009 0:00,Y,05I,No facility available to wash. rinse. and sanitize utensils and/or equipment not provided.    
8/2/2009 0:00,7/25/2010 0:00,Y,05I,No facility available to wash. rinse. and sanitize utensils and/or equipment not provided.    
7/26/2010 0:00,12/31/2099 0:00,Y,05I,Refrigeration used to implement HACCP plan not equipped with an electronic system that continuously monitors time and temperature.    
2/18/2005 0:00,6/30/2007 0:00,Y,05J,"<a    onmouseover=ShowContent('N1' '05J'); return true;""     href=""javascript:ShowContent('N1' '05J')"">Nuisance</a> created or allowed to exist. Facility not free from unsafe  hazardous  offensive or annoying condition."""
7/1/2007 0:00,6/30/2008 0:00,Y,05J,Nuisance created or allowed to exist. Facility not free from unsafe. hazardous. offensive or annoying condition.    
7/1/2008 0:00,8/1/2009 0:00,Y,05J,Nuisance created or allowed to exist. Facility not free from unsafe. hazardous. offensive or annoying condition.    
8/2/2009 0:00,7/25/2010 0:00,Y,05J,Nuisance created or allowed to exist. Facility not free from unsafe. hazardous. offensive or annoying condition.    
1/1/1901 0:00,3/23/2003 0:00,Y,06A,"<a    onmouseover=ShowContent('T3' '06A'); return true;""     href=""javascript:ShowContent('T3' '06A')"">Toxic chemical</a> improperly labeled  stored or used so that contamination of food may occur."" "
3/24/2003 0:00,2/17/2005 0:00,Y,06A,Personal cleanliness inadequate. Clean outer garments. effective hair restraint not worn.    
2/18/2005 0:00,6/30/2007 0:00,Y,06A,Personal cleanliness inadequate. Clean outer garments. effective hair restraint not worn.    
7/1/2007 0:00,6/30/2008 0:00,Y,06A,Personal cleanliness inadequate. Clean outer garments. effective hair restraint not worn.    
7/1/2008 0:00,8/1/2009 0:00,Y,06A,Personal cleanliness inadequate. Clean outer garments. effective hair restraint not worn.    
8/2/2009 0:00,7/25/2010 0:00,Y,06A,Personal cleanliness inadequate. Clean outer garments. effective hair restraint not worn.    
7/26/2010 0:00,12/31/2099 0:00,Y,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.    
1/1/1901 0:00,3/23/2003 0:00,Y,06B,"Food. food preparation area. food storage area. area used by employees or patrons. contaminated by <a    onmouseover=ShowContent('S1' '06B'); return true;""     href=""javascript:ShowContent('S1' '06B')"">sewage</a> or liquid waste.""  "
3/24/2003 0:00,2/17/2005 0:00,Y,06B,Tobacco use. eating. drinking in food preparation. food storage or dishwashing area observed.    
2/18/2005 0:00,6/30/2007 0:00,Y,06B,Tobacco use. eating. drinking in food preparation. food storage or dishwashing area observed.    
7/1/2007 0:00,6/30/2008 0:00,Y,06B,Tobacco use. eating. drinking in food preparation. food storage or dishwashing area observed.    
7/1/2008 0:00,8/1/2009 0:00,Y,06B,Tobacco use. eating. drinking in food preparation. food storage or dishwashing area observed.    
8/2/2009 0:00,7/25/2010 0:00,Y,06B,Tobacco use. eating. drinking in food preparation. food storage or dishwashing area observed.    
7/26/2010 0:00,12/31/2099 0:00,Y,06B,Tobacco use. eating. or drinking from open container in food preparation. food storage or dishwashing area observed.    
1/1/1901 0:00,3/23/2003 0:00,Y,06C,"Unprotected <a    onmouseover=ShowContent('P4' '06C'); return true;""     href=""javascript:ShowContent('P4' '06C')"">potentially hazardous food</a> re-served.""  "
3/24/2003 0:00,2/17/2005 0:00,Y,06C,Food not protected from potential source of contamination during storage. preparation. transportation. display or service.    
2/18/2005 0:00,6/30/2007 0:00,Y,06C,Food not protected from potential source of contamination during storage. preparation. transportation. display or service.    
7/1/2007 0:00,6/30/2008 0:00,Y,06C,Food not protected from potential source of contamination during storage. preparation. transportation. display or service.    
7/1/2008 0:00,8/1/2009 0:00,Y,06C,Food not protected from potential source of contamination during storage. preparation. transportation. display or service.    
8/2/2009 0:00,7/25/2010 0:00,Y,06C,Food not protected from potential source of contamination during storage. preparation. transportation. display or service.    
7/26/2010 0:00,12/31/2099 0:00,Y,06C,Food not protected from potential source of contamination during storage. preparation. transportation. display or service.    
1/1/1901 0:00,3/23/2003 0:00,Y,06D,"Food in contact with utensil. container. or pipe that consist of <a    onmouseover=ShowContent('T2' '06D'); return true;""     href=""javascript:ShowContent('T2' '06D')"">toxic material</a>.""  "
3/24/2003 0:00,2/17/2005 0:00,Y,06D,Food contact surface not properly maintained or not washed. rinsed and sanitized after each use and following any activity when contamination may have occurred    
2/18/2005 0:00,6/30/2007 0:00,Y,06D,Food contact surface not properly washed. rinsed and sanitized after each use and following any activity when contamination may have occurred.    
7/1/2007 0:00,6/30/2008 0:00,Y,06D,Food contact surface not properly washed. rinsed and sanitized after each use and following any activity when contamination may have occurred.    
7/1/2008 0:00,8/1/2009 0:00,Y,06D,Food contact surface not properly washed. rinsed and sanitized after each use and following any activity when contamination may have occurred.    
8/2/2009 0:00,7/25/2010 0:00,Y,06D,Food contact surface not properly washed. rinsed and sanitized after each use and following any activity when contamination may have occurred.    
7/26/2010 0:00,12/31/2099 0:00,Y,06D,Food contact surface not properly washed. rinsed and sanitized after each use and following any activity when contamination may have occurred.    
1/1/1901 0:00,3/23/2003 0:00,Y,06E,Cooked or prepared food is cross contaminated.    
3/24/2003 0:00,2/17/2005 0:00,Y,06E,Sanitized equipment or utensil. including in-use food dispensing utensil. improperly used or stored.    
2/18/2005 0:00,6/30/2007 0:00,Y,06E,Sanitized equipment or utensil. including in-use food dispensing utensil. improperly used or stored.    
7/1/2007 0:00,6/30/2008 0:00,Y,06E,Sanitized equipment or utensil. including in-use food dispensing utensil. improperly used or stored.    
7/1/2008 0:00,8/1/2009 0:00,Y,06E,Sanitized equipment or utensil. including in-use food dispensing utensil. improperly used or stored.    
8/2/2009 0:00,7/25/2010 0:00,Y,06E,Sanitized equipment or utensil. including in-use food dispensing utensil. improperly used or stored.    
7/26/2010 0:00,12/31/2099 0:00,Y,06E,Sanitized equipment or utensil. including in-use food dispensing utensil. improperly used or stored.    
1/1/1901 0:00,3/23/2003 0:00,Y,06F,"Appropriately scaled metal stem-type thermometer not provided or used to evaluate temperatures of <a    onmouseover=ShowContent('P4' '06F'); return true;""     href=""javascript:ShowContent('P4' '06F')"">potentially hazardous foods</a> during cooking  cooling  reheating and holding."""
3/24/2003 0:00,2/17/2005 0:00,Y,06F,Wiping cloths dirty or not stored in sanitizing solution.    
2/18/2005 0:00,6/30/2007 0:00,Y,06F,Wiping cloths dirty or not stored in sanitizing solution.    
7/1/2007 0:00,6/30/2008 0:00,Y,06F,Wiping cloths dirty or not stored in sanitizing solution.    
7/1/2008 0:00,8/1/2009 0:00,Y,06F,Wiping cloths dirty or not stored in sanitizing solution.    
8/2/2009 0:00,7/25/2010 0:00,Y,06F,Wiping cloths dirty or not stored in sanitizing solution.    
7/26/2010 0:00,12/31/2099 0:00,Y,06F,Wiping cloths soiled or not stored in sanitizing solution.    
1/1/1901 0:00,3/23/2003 0:00,Y,06G,Live animal present in food storage. preparation or service area. Citation may include and is not limited to cockroaches. flies. mice. rats. cats. and dogs.    
3/24/2003 0:00,2/17/2005 0:00,Y,06G,Acceptable facilities to wash rinse and sanitize utensils not provided.    
8/2/2009 0:00,7/25/2010 0:00,Y,06G,HACCP plan not approved and/or approved plan not on premises    
7/26/2010 0:00,12/31/2099 0:00,Y,06G,HACCP plan not approved or approved HACCP plan not maintained on premises.    
3/24/2003 0:00,2/17/2005 0:00,Y,06H,Detail not available in this format.    
8/2/2009 0:00,7/25/2010 0:00,Y,06H,Records and logs not maintained to demonstrate proper implementation of HACCP plan.    
7/26/2010 0:00,12/31/2099 0:00,Y,06H,Records and logs not maintained to demonstrate that HACCP plan has been properly implemented.    
8/2/2009 0:00,7/25/2010 0:00,Y,06I,Food not labelled in accordance with HACCP plan.    
7/26/2010 0:00,12/31/2099 0:00,Y,06I,Food not labeled in accordance with HACCP plan.    
1/1/1901 0:00,3/23/2003 0:00,Y,07A,Sewage disposal system improper or unapproved.    
3/24/2003 0:00,2/17/2005 0:00,N,07A,Facility not vermin proof. Harborage or conditions conducive to vermin exist.    
2/18/2005 0:00,6/30/2007 0:00,Y,07A,Administration other    
7/1/2007 0:00,6/30/2008 0:00,Y,07A,Administration other    
7/1/2008 0:00,8/1/2009 0:00,Y,07A,Administration other    
8/2/2009 0:00,7/25/2010 0:00,Y,07A,Interference with or obstruction of duties of an officer of the department.    
7/26/2010 0:00,12/31/2099 0:00,Y,07A,Duties of an officer of the Department interfered with or obstructed.    
1/1/1901 0:00,3/23/2003 0:00,Y,07B,Harmful. noxious gas or vapor detected. CO &#8805; 13 ppm.    
3/24/2003 0:00,2/17/2005 0:00,N,07B,Garbage receptacles not provided or inadequate. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.    
2/18/2005 0:00,6/30/2007 0:00,Y,07B,Food Temperature    
7/1/2007 0:00,6/30/2008 0:00,Y,07B,Food Temperature    
7/1/2008 0:00,8/1/2009 0:00,Y,07B,Food Temperature    
8/2/2009 0:00,7/25/2010 0:00,Y,07B,Food Temperature    
1/1/1901 0:00,3/23/2003 0:00,Y,07C,Food contact surface improperly constructed or located. Unacceptable material used.    
3/24/2003 0:00,2/17/2005 0:00,N,07C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.    
2/18/2005 0:00,6/30/2007 0:00,Y,07C,Food Source    
7/1/2007 0:00,6/30/2008 0:00,Y,07C,Food Source    
7/1/2008 0:00,8/1/2009 0:00,Y,07C,Food Source    
8/2/2009 0:00,7/25/2010 0:00,Y,07C,Food Source    
1/1/1901 0:00,3/23/2003 0:00,Y,07D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure not provided at facility.    
2/18/2005 0:00,6/30/2007 0:00,Y,07D,Food Protection    
7/1/2007 0:00,6/30/2008 0:00,Y,07D,Food Protection    
7/1/2008 0:00,8/1/2009 0:00,Y,07D,Food Protection    
8/2/2009 0:00,7/25/2010 0:00,Y,07D,Food Protection    
1/1/1901 0:00,3/23/2003 0:00,Y,07E,Toilet facility not provided for employees or for patrons when required.    
2/18/2005 0:00,6/30/2007 0:00,Y,07E,Facility Design    
7/1/2007 0:00,6/30/2008 0:00,Y,07E,Facility Design    
7/1/2008 0:00,8/1/2009 0:00,Y,07E,Facility Design    
8/2/2009 0:00,7/25/2010 0:00,Y,07E,Facility Design    
1/1/1901 0:00,3/23/2003 0:00,Y,07F,"Refrigerated or hot holding equipment to keep <a    onmouseover=ShowContent('P4' '07F'); return true;""     href=""javascript:ShowContent('P4' '07F')"">potentially hazardous foods</a> at required temperatures not provided.""  "
2/18/2005 0:00,6/30/2007 0:00,Y,07F,Personal Hygiene and other food protection    
7/1/2007 0:00,6/30/2008 0:00,Y,07F,Personal Hygiene and other food protection    
7/1/2008 0:00,8/1/2009 0:00,Y,07F,Personal Hygiene and other food protection    
8/2/2009 0:00,7/25/2010 0:00,Y,07F,Personal Hygiene    
1/1/1901 0:00,3/23/2003 0:00,Y,07G,"Sufficient refrigerated or hot holding equipment not provided to meet proper time and temperature requirements for <a    onmouseover=ShowContent('P4' '07G'); return true;""     href=""javascript:ShowContent('P4' '07G')"">potentially hazardous foods</a>.""  "
1/1/1901 0:00,3/23/2003 0:00,Y,07H,Dimensions of mobile food unit exceed prescribed limits.    
1/1/1901 0:00,3/23/2003 0:00,Y,07I,"<a    onmouseover=ShowContent('N1' '07I'); return true;""     href=""javascript:ShowContent('N1' '07I')"">Nuisance</a> created or allowed to exist. Facility not free from unsafe  hazardous  offensive or annoying condition.</a>"""
1/1/1901 0:00,3/23/2003 0:00,N,08A,Personal cleanliness inadequate. Clean outer garment. effective hair restraint not worn.    
3/24/2003 0:00,2/17/2005 0:00,N,08A,Toilet facility not maintained and provided with toilet paper. waste receptacle and self-closing door.    
2/18/2005 0:00,6/30/2007 0:00,N,08A,Facility not vermin proof. Harborage or conditions conducive to vermin exist.    
7/1/2007 0:00,6/30/2008 0:00,N,08A,Facility not vermin proof. Harborage or conditions conducive to vermin exist.    
7/1/2008 0:00,8/1/2009 0:00,N,08A,Facility not vermin proof. Harborage or conditions conducive to vermin exist.    
8/2/2009 0:00,7/25/2010 0:00,N,08A,Facility not vermin proof. Harborage or conditions conducive to vermin exist.    
7/26/2010 0:00,12/31/2099 0:00,N,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.    
1/1/1901 0:00,3/23/2003 0:00,N,08B,Tobacco use. eating. drinking in food preparation. food storage or dishwashing area observed.    
3/24/2003 0:00,2/17/2005 0:00,N,08B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; <a    onmouseover=ShowContent('S1' '08B'); return true;""     href=""javascript:ShowContent('S1' '08B')"">sewage</a> disposal system in disrepair or not functioning properly.""  "
2/18/2005 0:00,6/30/2007 0:00,N,08B,Garbage receptacles not provided or inadequate. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.    
